,open,high,low,close
2019-02-22,1.133475,1.135575,1.131615,1.133505
2019-02-25,1.133545,1.136755,1.133195,1.135725
2019-02-26,1.135985,1.140285,1.13452,1.138895
2019-02-27,1.139175,1.140365,1.13624,1.136965
2019-02-28,1.136845,1.141965,1.135955,1.1371
2019-03-01,1.1372,1.140875,1.135335,1.136585
2019-03-04,1.137775,1.138155,1.13092,1.13397
2019-03-05,1.133815,1.13414,1.128965,1.130795
2019-03-06,1.1308,1.132475,1.128555,1.13067
2019-03-07,1.130955,1.132035,1.11762,1.119365
2019-03-08,1.11915,1.12461,1.118525,1.12357
2019-03-11,1.123225,1.125835,1.122185,1.12456
2019-03-12,1.124575,1.13049,1.1245,1.128745
2019-03-13,1.128755,1.133865,1.127745,1.13268
2019-03-14,1.132575,1.133775,1.129415,1.13037
2019-03-15,1.130375,1.13444,1.130005,1.13249
2019-03-18,1.132365,1.135905,1.131875,1.133765
2019-03-19,1.133795,1.136165,1.133375,1.135195
2019-03-20,1.13525,1.14483,1.133555,1.141345
2019-03-21,1.141575,1.14375,1.13426,1.13739
2019-03-22,1.1375,1.139075,1.127325,1.130165
2019-03-25,1.12925,1.13315,1.1289,1.131245
2019-03-26,1.131305,1.132595,1.12634,1.126585
2019-03-27,1.1265,1.12856,1.124225,1.124395
2019-03-28,1.124925,1.126135,1.12136,1.1222
2019-03-29,1.122665,1.12468,1.120985,1.12175
2019-04-01,1.122725,1.124995,1.120415,1.1213
2019-04-02,1.1207,1.121645,1.118375,1.12045
2019-04-03,1.120325,1.125485,1.12017,1.12324
2019-04-04,1.123625,1.124775,1.120605,1.122055
2019-04-05,1.1222,1.124865,1.121005,1.121515
2019-04-08,1.121485,1.127455,1.121325,1.12637
2019-04-09,1.126,1.128435,1.125515,1.126275
2019-04-10,1.126375,1.12882,1.122955,1.127365
2019-04-11,1.12745,1.128755,1.125005,1.12534
2019-04-12,1.125575,1.132385,1.12537,1.12987
2019-04-15,1.13027,1.132095,1.129765,1.1304
2019-04-16,1.13035,1.131395,1.12798,1.128105
2019-04-17,1.12855,1.13238,1.127885,1.129605
2019-04-18,1.129725,1.130415,1.122625,1.123155
2019-04-19,1.12295,1.124785,1.12295,1.12455
2019-04-22,1.124235,1.126205,1.12359,1.12572
2019-04-23,1.125775,1.126135,1.11923,1.1227
2019-04-24,1.122375,1.12254,1.11407,1.115575
2019-04-25,1.1153,1.11626,1.111805,1.113225
2019-04-26,1.1133,1.117405,1.111135,1.114965
2019-04-29,1.1148,1.11869,1.114475,1.11859
2019-04-30,1.118575,1.12294,1.117585,1.12154
2019-05-01,1.12162,1.126495,1.11872,1.11958
2019-05-02,1.11965,1.121915,1.117085,1.11721
2019-05-03,1.11745,1.120485,1.113515,1.12017
2019-05-06,1.11757,1.120935,1.117385,1.119915
2019-05-07,1.119775,1.121795,1.116665,1.11909
2019-05-08,1.119235,1.121385,1.118275,1.119165
2019-05-09,1.119145,1.125095,1.117355,1.12154
2019-05-10,1.121695,1.125375,1.12145,1.123625
2019-05-13,1.1244,1.12636,1.122155,1.1222
2019-05-14,1.12225,1.124405,1.120125,1.120405
2019-05-15,1.120525,1.122465,1.117805,1.120125
